url	primary language	files	sloc
https://github.com/sindresorhus/quick-look-plugins		3	81
https://github.com/jenkinsci/jenkins	Java	2476	221796
https://github.com/knockout/knockout	JavaScript	138	18343
https://github.com/facebook/osquery	C++	572	62505
https://github.com/revel/revel	Go	92	7970
https://github.com/stylus/stylus	JavaScript	551	23247
https://github.com/rapid7/metasploit-framework	Ruby	6631	882776
https://github.com/scala/scala	Scala	6978	291425
https://github.com/godotengine/godot	C++	4030	1106847
https://github.com/crystal-lang/crystal	Crystal	42	12468
https://github.com/harthur/brain	JavaScript	22	1253
https://github.com/jordansissel/fpm	Ruby	101	9216
https://github.com/saltstack/salt	Python	3899	526965
https://github.com/bbatsov/rubocop	Ruby	988	113116
https://github.com/JetBrains/kotlin	Java	36948	1167259
https://github.com/mishoo/UglifyJS	JavaScript	117	6456
https://github.com/mrmrs/colors	CSS	12	627
https://github.com/dotnet/roslyn	C#	8007	1868921
https://github.com/elastic/logstash	Ruby	580	42463
https://github.com/eslint/eslint	JavaScript	1320	219908
https://github.com/jshint/jshint	JavaScript	183	68663
https://github.com/jacomyal/sigma.js	JavaScript	159	21060
https://github.com/cakephp/cakephp	PHP	1038	163339
https://github.com/Compass/compass	CSS	650	30002
https://github.com/mozilla/BrowserQuest	JavaScript	164	26405
https://github.com/python/cpython	Python	3003	1137122
https://github.com/connors/photon	CSS	71	8674
https://github.com/CRYTEK/CRYENGINE	C++	8097	2139861
https://github.com/karpathy/convnetjs	JavaScript	54	8721
https://github.com/Homebrew/brew	Ruby	827	54557
https://github.com/mozilla/metrics-graphics	JavaScript	96	28685
https://github.com/PowerShell/PowerShell	C#	1814	559124
https://github.com/facebook/infer	OCaml	1335	89368
https://github.com/jhipster/generator-jhipster	JavaScript	1509	74836
https://github.com/dmlc/xgboost	C++	382	35163
https://github.com/realm/SwiftLint	Swift	214	16859
https://github.com/redox-os/redox	Rust	58	3850
https://github.com/koalaman/shellcheck	Haskell	27	8239
https://github.com/clojure/clojure	Java	311	72976
https://github.com/zeroclipboard/zeroclipboard	JavaScript	48	11997
https://github.com/Quick/Quick	Swift	139	6978
https://github.com/twitter/twemoji	JavaScript	37	14619
https://github.com/charliesome/better_errors	Ruby	31	1356
https://github.com/libgit2/libgit2	C	979	168237
https://github.com/Theano/Theano	Python	527	213006
https://github.com/howdyai/botkit	JavaScript	52	9542
https://github.com/beetbox/beets	Python	256	62587
https://github.com/middleman/middleman	Ruby	669	25964
https://github.com/SFTtech/openage	C++	678	49157
https://github.com/xmartlabs/Eureka	Swift	101	9075
