url	primary language	stars	commits	merges	avg message	rat issue refs
https://github.com/pixijs/pixi.js	JavaScript	15495	4434	1019	70.602390618	0.292286874154
https://github.com/SwiftyJSON/SwiftyJSON	Swift	15231	647	202	66.5857805255	0.292117465224
https://github.com/bower/bower	JavaScript	15209	2676	439	55.8770553064	0.231689088191
https://github.com/mitchellh/vagrant	Ruby	15115	10137	1562	76.6304626615	0.170760580053
https://github.com/symfony/symfony	PHP	15004	32570	12898	320.149831133	0.337519189438
https://github.com/less/less.js	JavaScript	15003	2683	439	64.3313455088	0.219157659337
https://github.com/jashkenas/coffeescript	CoffeeScript	14156	4295	654	79.2295692666	0.266821885914
https://github.com/twbs/ratchet	CSS	13975	1401	273	43.0157030692	0.184154175589
https://github.com/raywenderlich/swift-algorithm-club	Swift	13757	1685	424	55.4225519288	0.214243323442
https://github.com/getsentry/sentry	Python	13551	19107	2127	57.3476212906	0.140681425656
https://github.com/limetext/lime		13541	1101	204	71.6067211626	0.254314259764
https://github.com/npm/npm	JavaScript	13513	7810	36	72.0910371319	0.0991037131882
https://github.com/designmodo/Flat-UI	CSS	13251	221	42	49.8597285068	0.171945701357
https://github.com/hubotio/hubot	JavaScript	13075	2000	539	73.51	0.2505
https://github.com/mochajs/mocha	JavaScript	13063	2313	495	69.2689148292	0.337656722871
https://github.com/facebook/flow	OCaml	13045	4891	84	418.681455735	0.0556123492128
https://github.com/standard/standard	JavaScript	13015	1198	196	53.183639399	0.20367278798
https://github.com/ggreer/the_silver_searcher	C	12991	1919	403	65.8165711308	0.221469515373
https://github.com/ruby/ruby	Ruby	12761	47318	4	218.029629317	0.106809248066
https://github.com/php/php-src	C	12645	104028	13123	73.8028030915	0.170800169185
https://github.com/syl20bnr/spacemacs	Emacs Lisp	12541	7405	36	87.2326806212	0.072113436867
https://github.com/python/cpython	Python	12370	99756	12377	144.822787602	0.331368539236
https://github.com/libgdx/libgdx	Java	12203	12981	2492	70.578075649	0.182343425006
https://github.com/Microsoft/CNTK	C++	12086	14797	2744	79.2699871596	0.0075015205785
https://github.com/mongodb/mongo	C++	12062	38859	2289	73.3603541007	0.00934146529761
https://github.com/PerfectlySoft/Perfect	Swift	12005	753	82	109.555112882	0.0903054448871
https://github.com/ipython/ipython	Python	11812	22772	4732	91.1246706482	0.221500087827
