url	primary language	stars	forks
https://github.com/JuliaLang/julia	Julia	8374	1921
https://github.com/fabric/fabric	Python	8342	1380
https://github.com/robbiehanson/CocoaAsyncSocket	Objective-C	8333	2281
https://github.com/sindresorhus/quick-look-plugins		8296	296
https://github.com/jenkinsci/jenkins	Java	8118	3549
https://github.com/knockout/knockout	JavaScript	8079	1386
https://github.com/facebook/osquery	C++	8071	957
https://github.com/revel/revel	Go	8023	1108
https://github.com/stylus/stylus	JavaScript	7943	950
https://github.com/rapid7/metasploit-framework	Ruby	7941	4964
https://github.com/scala/scala	Scala	7899	2010
https://github.com/godotengine/godot	C++	7770	1942
https://github.com/crystal-lang/crystal	Crystal	7651	616
https://github.com/harthur/brain	JavaScript	7593	887
https://github.com/jordansissel/fpm	Ruby	7521	766
https://github.com/saltstack/salt	Python	7493	3455
https://github.com/bbatsov/rubocop	Ruby	7434	1241
https://github.com/JetBrains/kotlin	Java	7431	798
https://github.com/mishoo/UglifyJS	JavaScript	7343	679
https://github.com/mrmrs/colors	CSS	7321	443
https://github.com/dotnet/roslyn	C#	7236	1736
https://github.com/elastic/logstash	Ruby	7193	2078
https://github.com/eslint/eslint	JavaScript	7193	1380
https://github.com/jshint/jshint	JavaScript	7111	1525
https://github.com/jacomyal/sigma.js	JavaScript	7096	1103
https://github.com/cakephp/cakephp	PHP	7001	3149
https://github.com/Compass/compass	CSS	6906	1238
https://github.com/mozilla/BrowserQuest	JavaScript	6893	2200
https://github.com/python/cpython	Python	6817	689
https://github.com/connors/photon	CSS	6712	351
https://github.com/CRYTEK/CRYENGINE	C++	6709	1091
https://github.com/karpathy/convnetjs	JavaScript	6705	1326
https://github.com/Homebrew/brew	Ruby	6657	1785
https://github.com/mozilla/metrics-graphics	JavaScript	6545	401
https://github.com/PowerShell/PowerShell	C#	6477	807
https://github.com/facebook/infer	OCaml	6464	863
https://github.com/jhipster/generator-jhipster	JavaScript	6445	1477
https://github.com/dmlc/xgboost	C++	6333	3259
https://github.com/realm/SwiftLint	Swift	6300	484
https://github.com/redox-os/redox	Rust	6297	390
https://github.com/koalaman/shellcheck	Haskell	6245	337
https://github.com/clojure/clojure	Java	6163	1041
https://github.com/zeroclipboard/zeroclipboard	JavaScript	6105	1068
https://github.com/Quick/Quick	Swift	6102	581
https://github.com/twitter/twemoji	JavaScript	6098	728
https://github.com/charliesome/better_errors	Ruby	6087	386
https://github.com/libgit2/libgit2	C	6007	1526
https://github.com/Theano/Theano	Python	5933	2048
https://github.com/howdyai/botkit	JavaScript	5910	1157
https://github.com/beetbox/beets	Python	5745	952
https://github.com/middleman/middleman	Ruby	5695	576
https://github.com/SFTtech/openage	C++	5631	540
https://github.com/xmartlabs/Eureka	Swift	5602	539
https://github.com/dc-js/dc.js	JavaScript	5519	1482
https://github.com/travis-ci/travis-ci		5501	505
https://github.com/joshuaclayton/blueprint-css	CSS	5475	629
https://github.com/erlang/otp	Erlang	5429	1527
https://github.com/ShareX/ShareX	C#	5372	878
https://github.com/Moya/Moya	Swift	5315	565
https://github.com/apple/swift-package-manager	Swift	5307	499
https://github.com/guard/guard	Ruby	5288	452
https://github.com/clips/pattern	Python	5246	1006
https://github.com/jscs-dev/node-jscs	JavaScript	5122	568
https://github.com/NancyFx/Nancy	C#	5049	1226
https://github.com/aframevr/aframe	JavaScript	5015	1031
https://github.com/apex/apex	Go	5011	281
https://github.com/fivethirtyeight/data	Jupyter Notebook	5006	1870
https://github.com/matplotlib/matplotlib	Python	5000	2447
https://github.com/alexwolfe/Buttons	JavaScript	4993	890
https://github.com/numenta/nupic	Python	4878	1362
https://github.com/epochjs/epoch	HTML	4799	278
https://github.com/chef/chef	Ruby	4745	1974
https://github.com/WebpageFX/emoji-cheat-sheet.com	HTML	4712	1304
https://github.com/vega/vega	HTML	4708	507
https://github.com/johndyer/mediaelement	JavaScript	4594	1083
https://github.com/componentjs/component	JavaScript	4582	302
https://github.com/zulip/zulip	Python	4575	1171
https://github.com/github/linguist	Ruby	4528	1794
https://github.com/puppetlabs/puppet	Ruby	4394	1815
https://github.com/JohnLangford/vowpal_wabbit	PostScript	4381	1143
https://github.com/NYTimes/objective-c-style-guide		4330	977
https://github.com/thinkaurelius/titan	Java	4291	905
https://github.com/BabylonJS/Babylon.js	TypeScript	4264	1075
https://github.com/docker/dockercraft	Lua	4257	244
https://github.com/keithwhor/nodal	JavaScript	4238	222
https://github.com/radare/radare2	C	4227	917
https://github.com/derbyjs/derby	JavaScript	4225	242
https://github.com/densitydesign/raw	JavaScript	4212	892
https://github.com/MonoGame/MonoGame	C#	4167	1933
https://github.com/sharelatex/sharelatex	CoffeeScript	4126	485
https://github.com/Masterminds/glide	Go	4075	250
https://github.com/basscss/basscss	CSS	4064	258
https://github.com/presidentbeef/brakeman	Ruby	4060	394
https://github.com/coolwanglu/vim.js	C	4044	251
https://github.com/erikflowers/weather-icons	CSS	4040	439
https://github.com/robbiehanson/CocoaHTTPServer	Objective-C	4007	1061
https://github.com/happyworm/jPlayer	JavaScript	3982	1293
https://github.com/JamesNK/Newtonsoft.Json	C#	3981	1604
https://github.com/FormidableLabs/victory	JavaScript	3956	114
https://github.com/sjwhitworth/golearn	Go	3914	454
https://github.com/OpenRA/OpenRA	C#	3871	1261
https://github.com/atlemo/SubtlePatterns	HTML	3842	467
https://github.com/benpickles/peity	HTML	3777	367
https://github.com/sorich87/bootstrap-tour	CoffeeScript	3767	759
https://github.com/primer/octicons	JavaScript	3739	285
https://github.com/cazala/synaptic	JavaScript	3716	350
https://github.com/mopidy/mopidy	Python	3713	411
https://github.com/elm-lang/elm-compiler	Haskell	3706	287
https://github.com/sympy/sympy	Python	3692	1868
https://github.com/deployphp/deployer	PHP	3692	537
https://github.com/CodeboxIDE/codebox	JavaScript	3683	540
https://github.com/hanami/hanami	Ruby	3680	361
https://github.com/CSSLint/csslint	JavaScript	3651	439
